订单号,来源,配送方式,商品金额,期望送达时间,下单时间,打包时间,妥投时间,ctype
43653596,企业团购,配送,2497.46,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 15:58,2021/9/30 6:44,2021/9/30 6:50,B
43654214,企业团购,配送,931.79,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 18:35,2021/9/30 6:44,2021/9/30 6:50,B
43655562,企业团购,配送,3344.6,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 16:15,2021/9/30 6:44,2021/9/30 6:50,B
43656833,企业团购,配送,1025.3,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 19:39,2021/9/30 6:45,2021/9/30 6:50,B
43657129,企业团购,配送,447.93,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/29 13:36,2021/9/30 6:41,2021/9/30 6:50,D
43658811,企业团购,配送,139.8,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/30 7:17,2021/9/30 7:17,2021/9/30 7:20,B
43659090,企业团购,配送,65.82,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/30 8:22,2021/9/30 8:22,2021/9/30 8:30,B
43660888,企业团购,配送,309.0,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/30 9:02,2021/9/30 9:02,2021/9/30 9:10,D
43661370,企业团购,配送,4165.25,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 15:14,2021/9/30 9:01,2021/9/30 9:10,B
43662412,企业团购,配送,463.59,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 18:24,2021/9/30 9:01,2021/9/30 9:10,D
43663709,企业团购,配送,209.95,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/29 16:55,2021/9/30 9:01,2021/9/30 9:10,A
43664970,企业团购,配送,1260.0,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/30 8:11,2021/9/30 9:19,2021/9/30 9:20,B
43665232,饿了么,配送,125.0,2021-09-30 10:00:00 - 2021-09-30 10:00:00,2021/9/30 7:24,2021/9/30 8:54,2021/9/30 10:00,D
43666390,饿了么,配送,131.9,2021-09-30 10:15:00 - 2021-09-30 10:15:00,2021/9/30 8:24,2021/9/30 8:32,2021/9/30 10:23,D
43667957,企业团购,配送,3214.5,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/30 9:47,2021/9/30 10:30,2021/9/30 10:40,B
43668348,企业团购,配送,10685.2,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/30 9:16,2021/9/30 10:30,2021/9/30 10:40,B
43669660,企业团购,配送,7800.0,2021-09-30 06:30:00 - 2021-09-30 17:00:00,2021/9/30 9:46,2021/9/30 10:30,2021/9/30 10:40,B
43670031,企业团购,配送,390.0,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/30 9:17,2021/9/30 10:30,2021/9/30 10:40,D
43671729,饿了么,配送,15.4,2021-09-30 10:15:00 - 2021-09-30 11:18:00,2021/9/30 10:15,2021/9/30 10:21,2021/9/30 10:41,D
43672359,企业团购,自提,99.4,2021-09-30 11:30:00 - 2021-09-30 12:30:00,2021/9/30 10:37,2021/9/30 10:43,2021/9/30 10:44,B
43673196,饿了么,配送,294.4,2021-09-30 09:28:00 - 2021-09-30 11:01:00,2021/9/30 9:28,2021/9/30 9:46,2021/9/30 10:50,D
43674924,企业团购,自提,128.09,2021-09-30 11:30:00 - 2021-09-30 12:30:00,2021/9/30 10:53,2021/9/30 11:01,2021/9/30 11:01,B
43675508,饿了么,配送,259.7,2021-09-30 12:00:00 - 2021-09-30 12:00:00,2021/9/30 3:15,2021/9/30 8:37,2021/9/30 11:48,D
43676688,饿了么,配送,353.1,2021-09-30 11:33:00 - 2021-09-30 12:26:00,2021/9/30 11:33,2021/9/30 11:46,2021/9/30 12:04,D
43677927,企业团购,配送,89.31,2021-09-30 12:30:00 - 2021-09-30 13:30:00,2021/9/30 8:03,2021/9/30 8:28,2021/9/30 12:26,B
43678449,企业团购,自提,61.5,2021-09-30 12:30:00 - 2021-09-30 13:30:00,2021/9/29 23:09,2021/9/30 8:54,2021/9/30 13:21,B
43679344,饿了么,配送,238.3,2021-09-30 12:50:00 - 2021-09-30 14:17:00,2021/9/30 12:50,2021/9/30 12:58,2021/9/30 13:31,D
43680216,饿了么,配送,70.0,2021-09-30 13:35:00 - 2021-09-30 14:16:00,2021/9/30 13:35,2021/9/30 13:40,2021/9/30 13:55,D
43681121,企业团购,配送,121.9,2021-09-30 15:30:00 - 2021-09-30 16:30:00,2021/9/30 14:36,2021/9/30 14:46,2021/9/30 15:14,B
43682574,饿了么,配送,57.9,2021-09-30 14:36:00 - 2021-09-30 15:21:00,2021/9/30 14:36,2021/9/30 14:54,2021/9/30 15:19,D
43683324,企业团购,自提,138.57,2021-09-30 16:30:00 - 2021-09-30 17:30:00,2021/9/30 15:14,2021/9/30 15:18,2021/9/30 15:19,B
43684759,美团,配送,41.8,2021-09-30 14:55:00 - 2021-09-30 15:55:00,2021/9/30 14:55,2021/9/30 15:02,2021/9/30 15:22,D
43685128,企业团购,自提,102.4,2021-09-30 16:30:00 - 2021-09-30 17:30:00,2021/9/30 15:19,2021/9/30 15:26,2021/9/30 15:27,B
43686771,企业团购,配送,99.7,2021-09-30 15:30:00 - 2021-09-30 16:30:00,2021/9/30 14:58,2021/9/30 15:06,2021/9/30 15:30,B
43687426,企业团购,配送,162.44,2021-09-30 16:30:00 - 2021-09-30 17:30:00,2021/9/30 15:47,2021/9/30 15:56,2021/9/30 16:12,A
43688561,饿了么,配送,59.8,2021-09-30 15:39:00 - 2021-09-30 16:42:00,2021/9/30 15:39,2021/9/30 15:48,2021/9/30 16:13,D
43689548,饿了么,配送,99.5,2021-09-30 16:14:00 - 2021-09-30 17:29:00,2021/9/30 16:14,2021/9/30 16:19,2021/9/30 16:38,D
43690554,美团,配送,68.6,2021-09-30 15:59:00 - 2021-09-30 16:59:00,2021/9/30 15:59,2021/9/30 16:04,2021/9/30 16:50,C
43691154,饿了么,配送,42.6,2021-09-30 16:02:00 - 2021-09-30 17:06:00,2021/9/30 16:02,2021/9/30 16:10,2021/9/30 17:09,D
43692112,企业团购,自提,111.3,2021-09-30 18:30:00 - 2021-09-30 19:30:00,2021/9/30 17:10,2021/9/30 17:15,2021/9/30 17:16,B
43693881,企业团购,配送,601.38,2021-09-30 06:00:00 - 2021-09-30 17:00:00,2021/9/30 17:15,2021/9/30 17:15,2021/9/30 17:20,B
43694708,饿了么,配送,79.6,2021-09-30 17:18:00 - 2021-09-30 18:11:00,2021/9/30 17:18,2021/9/30 17:25,2021/9/30 17:40,D
43695575,饿了么,配送,160.0,2021-09-30 17:23:00 - 2021-09-30 18:04:00,2021/9/30 17:23,2021/9/30 17:27,2021/9/30 17:48,D
43696275,企业团购,自提,158.0,2021-09-30 17:30:00 - 2021-09-30 18:30:00,2021/9/30 10:52,2021/9/30 10:59,2021/9/30 18:05,B
43697491,美团,配送,194.76,2021-09-30 17:46:00 - 2021-09-30 18:46:00,2021/9/30 17:46,2021/9/30 18:05,2021/9/30 18:15,C
43698183,饿了么,配送,48.8,2021-09-30 17:45:00 - 2021-09-30 18:39:00,2021/9/30 17:44,2021/9/30 18:02,2021/9/30 18:21,D
43699666,美团,配送,108.2,2021-09-30 18:17:00 - 2021-09-30 19:17:00,2021/9/30 18:17,2021/9/30 18:24,2021/9/30 18:42,C
43700301,饿了么,配送,132.3,2021-09-30 18:01:00 - 2021-09-30 19:28:00,2021/9/30 18:01,2021/9/30 18:17,2021/9/30 18:55,D
43701271,企业团购,自提,101.4,2021-09-30 18:30:00 - 2021-09-30 19:30:00,2021/9/30 17:49,2021/9/30 18:14,2021/9/30 19:09,B
43702223,饿了么,配送,44.7,2021-09-30 18:33:00 - 2021-09-30 19:41:00,2021/9/30 18:33,2021/9/30 18:37,2021/9/30 19:27,D
43703257,饿了么,配送,320.7,2021-09-30 19:49:00 - 2021-09-30 20:53:00,2021/9/30 19:49,2021/9/30 19:56,2021/9/30 20:19,D
43704837,饿了么,配送,356.69,2021-09-30 18:11:00 - 2021-09-30 19:24:00,2021/9/30 18:10,2021/9/30 18:26,2021/9/30 20:20,D
43705146,饿了么,配送,101.6,2021-09-30 19:42:00 - 2021-09-30 21:12:00,2021/9/30 19:42,2021/9/30 19:50,2021/9/30 20:23,D
43806859,饿了么,配送,60.0,2021-09-30 20:03:00 - 2021-09-30 21:15:00,2021/9/30 20:03,2021/9/30 20:11,2021/9/30 20:51,D
43707745,企业团购,自提,133.9,2021-09-30 15:30:00 - 2021-09-30 16:30:00,2021/9/29 20:46,2021/9/30 8:37,2021/9/30 20:58,B
43808028,美团,配送,116.11,2021-09-30 20:34:00 - 2021-09-30 21:34:00,2021/9/30 20:34,2021/9/30 20:41,2021/9/30 21:12,C
43709488,企业团购,配送,1692.62,2021-10-01 06:30:00 - 2021-10-01 17:00:00,2021/9/30 16:14,2021/10/1 6:20,2021/10/1 6:30,B
